month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_days_on_market_mm_day,median_days_on_market_yy,median_days_on_market_yy_day,median_days_on_market_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202004,95835,"sacramento, ca",2198,78,143,248,96.593623,96.08091024,97.10633516,25.5,-0.0727,-2,0.0625,1.5,-36.5,416800,-0.0183,-0.0188,1.3023
202004,95831,"sacramento, ca",868,93,293,255,96.221379,97.61202416,94.83073465,21.5,-0.2833,-8.5,0,0,-40.5,549750,-0.0149,0.172,1.7178
202004,95820,"sacramento, ca",2839,95,288,3105,96.217868,96.38291895,96.05281641,25,-0.1071,-3,-0.375,-15,-37,309892,0.0076,0.0345,0.9683
202004,95826,"sacramento, ca",1705,130,12,846,95.617362,95.19595449,96.03876949,27.5,0.2222,5,-0.1129,-3.5,-34.5,352550,0.0219,0.0698,1.1016
202004,95828,"sacramento, ca",1009,277,-69,451,93.320691,91.98623402,94.65514819,32,0.3913,9,0,0,-30,342550,-0.0101,0.0705,1.0703
202004,95815,"sacramento, ca",5151,442,-55,27,91.533221,93.29259727,89.77384464,30.5,0.1091,3,0.1731,4.5,-31.5,280000,0.0568,0.1002,0.8748
202004,95819,"sacramento, ca",6106,454,206,-250,91.399775,96.08091024,86.71864026,25.5,-0.0377,-1,0.1087,2.5,-36.5,714550,-0.0266,0.0209,2.2328
202004,95825,"sacramento, ca",1840,540,262,1614,90.602613,91.98623402,89.21899143,32,0.2549,6.5,-0.1351,-5,-30,248050,-0.2062,-0.1061,0.775
202004,95842,"sacramento, ca",3408,717,-474,431,89.190898,85.32097205,93.06082315,38,0.434,11.5,0.2258,7,-24,319500,0.0239,0.2171,0.9983
202004,95818,"sacramento, ca",4693,789,-175,-342,88.442899,93.60162944,83.28416912,30,-0.0323,-1,0.3636,8,-32,605000,0.0092,-0.0243,1.8905
202004,95822,"sacramento, ca",1556,803,64,140,88.312965,88.41831718,88.20761343,35.5,0.0143,0.5,0.1833,5.5,-26.5,349950,0.0766,0.2069,1.0934
202004,95834,"sacramento, ca",4304,921,46,1236,87.357775,90.44809664,84.26745329,33.5,0.1964,5.5,0.1356,4,-28.5,415050,-0.0292,0.0473,1.2969
202004,95829,"sacramento, ca",5657,927,1188,2591,87.319146,89.41564827,85.22264363,34.5,-0.1882,-8,-0.3301,-17,-27.5,446544,-0.0387,-0.055,1.3953
202004,95838,"sacramento, ca",3755,974,66,2619,87.013626,78.59249895,95.43475207,42.5,0.2143,7.5,-0.0341,-1.5,-19.5,289500,0.0431,-0.0196,0.9045
