OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1429759,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,6,6B,1401,1577866620000
2,1429760,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,2,2B,0564,1577872380000
3,1429779,4801,5,OBSTRUCTING,69 PC RESIST/OBSTRCT EXEC OFC,3,3M,0741,1577872080000
4,1429804,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1441,1577876400000
5,1429831,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,3,3B,0777,1577875380000
6,1429865,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,5,5A,1364,1577877360000
7,1429868,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0611,1577887320000
8,1429872,2699,8,FRAUD,587C PC EVADE PAYMENT RAILFARE,3,3A,0765,1577912460000
9,1429874,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3M,0744,1577867580000
10,1429881,7000,83,RELEASE,849(B)(1) CERTIFICATE OF RELEA,4,4A,1203,1577867520000
11,1429889,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0748,1577870100000
12,1429894,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0748,1577871000000
13,1429896,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0725,1577904000000
14,1429900,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,1577917800000
15,1429902,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,1577916600000
16,1429903,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0745,1577869200000
17,1429906,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,1577909400000
18,1429912,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1B,0435,1577917560000
19,1429913,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1C,0426,1577903760000
20,1429918,0999,1,HOMICIDE,187(A) HOMICIDE,2,2B,0563,1577919240000
21,1429920,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0552,1577866800000
22,1429936,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1654,1577926800000
23,1429939,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0782,1577943000000
24,1429957,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5C,1654,1577926020000
25,1429958,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,0903,1577952480000
26,1429959,2501,01,FORGERY,476 PC PASS FICTICIOUS CHECK,6,6A,1071,1577936040000
27,1429961,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2A,0505,1577869200000
28,1429962,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1061,1577991600000
29,1429968,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,4,4A,0908,1577928600000
30,1429969,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,0928,1577937600000
31,1429983,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1111,1577967000000
32,1429996,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0788,1577952900000
33,1429997,2099,1,ARSON,451(A) PC ARSON W/BODILY INJ,5,5A,1371,1577955600000
34,1429998,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1034,1577995200000
35,1430020,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,4,4A,0907,1577995860000
36,1430034,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,2,2B,0542,1577881440000
37,1430036,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,5,5B,1602,1577933040000
38,1430038,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3M,0734,1577935560000
39,1430040,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,5,5A,1371,1577945100000
40,1430042,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0532,1578005940000
41,1430051,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0545,1577930460000
42,1430053,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4A,0908,1578031440000
43,1430061,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3A,0706,1577944800000
44,1430064,5707,6,TRESPASS,602(L)(1)TRESPASS REFUSE TO LV,3,3B,0748,1578041700000
45,1430078,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,1,1A,0306,1578025500000
46,1430080,2399,3,THEFT,485 PC PETTY THFT LOST PROP-M,3,3M,0741,1577995560000
47,1430091,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,4,4A,0907,1577992080000
48,1430092,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4A,0905,1577994120000
49,1430095,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,2,2C,0626,1577994960000
50,1430098,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3M,0741,1577869380000
51,1430101,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,5,5C,1651,1577954040000
52,1430102,4801,5,OBSTRUCTING,69 PC RESIST/OBSTRCT EXEC OFC,3,3A,0706,1577983560000
53,1430103,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2C,0603,1577959680000
54,1430104,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6B,1421,1577964240000
55,1430105,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6D,0841,1577975580000
56,1430106,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,2,2B,0563,1577980680000
57,1430107,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,6,6D,0841,1578018660000
58,1430108,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2B,0541,1577870940000
59,1430110,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1C,0414,1577983440000
60,1430111,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,2,2B,0563,1577986980000
61,1430113,7399,98,SAC CITY CODE,12.52.040(A) STOR PER PROP-PUB,3,3A,0709,1577987880000
62,1430115,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2A,0514,1577992740000
63,1430116,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0302,1577901600000
64,1430119,3599,48,NARCOTICS,11351 HS POSS FOR SALE/11054,2,2A,0504,1578003780000
65,1430124,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3A,0703,1578013980000
66,1430125,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3M,0744,1577910600000
67,1430140,5499,41,TRAFFIC,12500(A) UNLICENSED DRIVER,2,2B,0523,1577993820000
68,1430144,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0619,1578004680000
69,1430145,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,6,6D,0851,1578009840000
70,1430147,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1C,0456,1577872980000
71,1430148,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,2,2C,0614,1578020520000
