Police_District,Region,Neighborhood,Zip_Code
1,Northwest,North Natomas,95833
1,Northwest,North Natomas,95834
1,Northwest,North Natomas,95835
2,Northeast,Arden Fair,95815
2,Northeast,Cannon Industrial Park,95815
2,Northeast,Erikson Industrial Park,95815
2,Northeast,Hagginwood,95815
2,Northeast,Noralto,95815
2,Northeast,North Sacramento,95815
2,Northeast,Strawberry Manor,95815
2,Northeast,Glenwood Meadows,95816
2,Northeast,Del Paso Heights,95835
2,Northeast,Parker Homes,95838
2,Northeast,Robla,95838
2,Northeast,Youngs Heights,95838
3,Central,Cal Expo,95815
3,Central,Point West,95815
3,Central,River District,95815
3,Central,CSUS,95819
3,Central,East Sacramento,95819
3,Central,River Park,95821
4,Southwest,New Era Park,95811
4,Southwest,Downtown (southeastern portion),95814
4,Southwest,Mansion Flats,95814
4,Southwest,Southside Park,95814
4,Southwest,Alhambra Triangle,95816
4,Southwest,Marshall School,95816
4,Southwest,Midtown,95816
4,Southwest,Winn Park/Capitol Avenue,95816
4,Southwest,Alhambra Triangle,95817
4,Southwest,Land Park,95818
4,Southwest,Newton Booth,95818
4,Southwest,Richmond Grove,95818
4,Southwest,Upper Land Park,95818
4,Southwest,Poverty Ridge,95820
4,Southwest,Mangan Park,95822
4,Southwest,South Land Park,95822
4,Southwest,Greenhaven,95831
4,Southwest,Little Pocket,95831
4,Southwest,Z'berg Park,95831
5,South,Brentwood,95816
5,South,Carleton Tract,95817
5,South,Med Center,95817
5,South,Oak Park,95817
5,South,Curtis Park,95818
5,South,Colonial Heights,95820
5,South,Lawrence Park,95820
5,South,North City Farms,95820
5,South,Oak Park,95820
5,South,Airport (Executive),95822
5,South,Freeport Manor,95822
5,South,Hollywood Park,95822
5,South,Mangan Park,95822
5,South,North City Farms,95822
5,South,SCC,95822
5,South,Woodbine,95822
5,South,Golf Course Terrace,95823
5,South,South City Farms,95824
5,South,Z'Berg Park,95831
6,East,Elmhurst,95817
6,East,Tahoe Park,95817
6,East,Elmhurst,95819
6,East,Colonial Village,95820
6,East,Fruitridge Manor,95820
6,East,Tahoe Park,95820
6,East,Tallac Village,95820
6,East,Campus Commons,95823
6,East,Avondale,95824
6,East,Glen Elder,95824
6,East,Granite Regional Park,95826
6,East,Southeast Village,95828
6,East,College/Glen,95841
6,East,Sierra Oaks,95864
